cbsa,year,qtr,index_sa,metro_name,population,median_income,zhvi_qtr,zori_qtr,inventory_qtr,unemployment_rate,qcew_avg_wkly_wage,qcew_employment,sp500_qtr,price_to_income_ratio,is_unaffordable,prev_unaffordable,next_unaffordable,collapse_onset,collapse_onset_confirmed,price_to_income_lag,price_to_income_5yr_chg,zhvi_yoy_lag,zhvi_qoq_lag,three-year_home_price_growth_trend,hpi_yoy_lag,hpi_3yr_chg_lag,pop_velocity_lag,pop_acceleration_lag,zori_yoy_lag,unemployment_rate_lag,inv_qoq_lag,sp500_yoy_lag,qcew_wage_yoy_lag,qcew_emp_yoy_lag
10740,2021,4,0.94,"Albuquerque, NM",919682.0,58335.0,279577.5309625782,1239.7043747005844,2091.6666666666665,5.066666666666666,1126.0,384039.0,4602.1089062500005,4.792620741623009,False,False,False,False,False,4.322657293474543,0.6527573642249931,0.1168145633764639,0.04368191872127958,0.005973033570419571,0.01388888888888884,-6.410256410256421,0.0,0.0,0.06980729267451258,7.466666666666666,-0.11215516202867126,0.15302735438200687,0.1436004162330906,-0.08373501990523269
10740,2022,1,1.04,"Albuquerque, NM",920200.0,63971.0,292309.84511699295,1260.0568783620731,1464.0,4.533333333333333,1054.0,383550.0,4463.855483870967,4.569411844695142,False,False,False,False,False,4.284110869013458,0.656866760988243,0.1424577709703394,0.044154043790163744,0.007846200075115613,0.0547945205479452,-1.2820512820512886,0.002403625400550724,0.002403625400550724,0.0813742001822686,7.433333333333334,-0.21465400271370416,0.2650105879555513,0.042105263157894646,-0.05548796972154635
10740,2022,2,1.25,"Albuquerque, NM",920200.0,63971.0,310100.6144945152,1314.5210716220874,1770.3333333333333,3.8333333333333335,1052.0,383566.0,4105.667096774193,4.84751863335754,False,False,False,False,False,4.509917484033256,0.8356817262315244,0.17749540553314969,0.05270792981877159,0.010415662203709984,0.18309859154929575,11.99999999999999,0.0,-0.002403625400550724,0.128749904417075,7.1000000000000005,0.05822391154111961,0.4270368786990453,0.0201005025125629,0.05028880732160168
10740,2022,3,1.45,"Albuquerque, NM",920200.0,63971.0,317314.2257546593,1360.023140932447,2246.0,3.5,1124.0,391326.0,3980.35109375,4.96028240538149,False,False,False,False,False,4.6895854344195556,0.9752663656979652,0.19290671995213415,0.0398384119049604,0.01277393950137585,0.22222222222222232,18.918918918918926,0.0,0.0,0.163503400559458,6.566666666666666,0.18367346938775508,0.3318950711862574,0.05177664974619289,0.04531640571779705
10740,2022,4,1.68,"Albuquerque, NM",920200.0,63971.0,315341.2397122373,1366.6501820924925,2081.3333333333335,2.9333333333333336,1132.0,395898.0,3851.9734920634924,4.929440523240801,False,False,False,False,False,4.792620741623009,1.0507255745890638,0.1680916952718008,0.021971090759370204,0.013180539337586328,0.28767123287671237,27.027027027027017,0.0,0.0,0.17461442377793102,5.066666666666666,-0.1344827586206897,0.294726932969241,0.02456778889899902,0.07236320380650274
10740,2023,1,1.69,"Albuquerque, NM",923477.0,67995.0,314631.92021080066,1369.1978127759473,1657.3333333333333,3.1666666666666665,1145.0,393988.0,4000.064516129032,4.627280244294443,False,False,False,False,False,4.569411844695142,0.8895188036036887,0.16964357399244667,0.04554126402997305,0.012995425508328263,0.35064935064935066,36.8421052631579,-0.0015451860543753693,-0.0015451860543753693,0.1710253194052802,4.533333333333333,-0.30007968127490037,0.15473201056913988,0.06464646464646462,0.05559378010183025
10740,2023,2,1.74,"Albuquerque, NM",923477.0,67995.0,319374.99259331974,1397.27762518958,1655.6666666666667,3.233333333333333,1111.0,399220.0,4206.072903225806,4.697036437875134,False,False,False,False,False,4.84751863335754,1.135629236749773,0.17870419388735415,0.06086271015059963,0.012930261309287523,0.48809523809523814,73.61111111111111,0.0,0.0015451860543753693,0.15878803752380466,3.8333333333333335,0.20924408014571938,-0.01863437265303247,0.03645320197044333,0.044800187405173775
10740,2023,3,1.63,"Albuquerque, NM",923477.0,67995.0,326823.08649244794,1419.8979180129663,1979.3333333333333,3.8666666666666667,1131.0,399286.0,4458.13746031746,4.806575284836355,False,False,False,False,False,4.96028240538149,1.2172614615157156,0.1599142616770597,0.023262163707423733,0.011472114294895705,0.6477272727272727,101.38888888888889,0.0,0.0,0.1256025100867948,3.5,0.2686876294483149,-0.0998083232963558,0.084942084942085,0.04090736194197597
10740,2023,4,1.64,"Albuquerque, NM",923477.0,67995.0,332238.67571898556,1423.5109168931115,2022.3333333333333,3.4,1185.0,403696.0,4464.907619047619,4.886222159261498,False,False,False,False,False,4.929440523240801,1.1498982017036914,0.1279205400610186,-0.006217767380991668,0.008290205511451248,0.7872340425531916,133.33333333333334,0.0,0.0,0.1024000640657321,2.9333333333333336,-0.0733155238943306,-0.16299818832356816,0.005328596802841812,0.030879676282877577
10740,2024,1,1.82,"Albuquerque, NM",926303.0,70783.0,335886.98281829106,1423.8893879957031,1828.0,3.4333333333333336,1196.0,400525.0,4992.540983606557,4.7453058335799705,False,False,False,False,False,4.627280244294443,0.897412552793206,0.07636443132756487,-0.002249371195736871,0.002985513432904493,0.625,131.50684931506848,0.0029979441889063096,0.0029979441889063096,0.08661587924169312,3.1666666666666665,-0.20371556694426662,-0.10389918970668477,0.08633776091081602,0.02721418328770686
