cbsa,metro_name_x,year,qtr,index_nsa,index_sa,metro_name_y,hpi_at_sa,RegionID,RegionName_x,RegionType,StateName,zhvi_yoy,zhvi_qoq,name_short,metro_name,population,pop_yoy_growth,pop_velocity_3yr,pop_accleration,RegionName_y,zhvi_qtr,median_income,income_moe,price_to_income_ratio,affordability_burden,hpi_3yr_chg,is_unaffordable,collapse_onset,price_to_income_lag,price_to_income_5yr_chg,zhvi_yoy_lag,affordability_momentum,pop_velocity_lag,pop_acceleration_lag,hpi_yoy,hpi_yoy_lag,price_to_income_ratio_full,zhvi_qoq_lag,zhvi_yoy_fixed,zhvi_qoq_fixed,pop_yoy_fixed,pop_velocity_fixed,pop_acceleration_fixed,metro_prefix,metro_clean,state_x,state_list,cum_onset
12420.0,"Austin-Round Rock-San Marcos, TX",2019.0,1.0,460.44,461.1,"Austin-Round Rock-San Marcos, TX",1.63,,,,,,,,"Austin-Round Rock-Georgetown, TX",2227083.0,0.0284396607337716,0.0800512702132281,0.0047939074159588,"Austin, TX",321441.88312302274,76844.0,621.0,4.183044650500009,False,20.341371750704674,False,False,4.262542652752988,0.785907304062214,0.03577483473395171,-0.006701200599300674,-0.0022798457076069756,-0.0022798457076069756,0.07058277223125153,0.06248612378814422,4.183044650500009,0.010488938605335507,0.030019680713820884,0.006272758652359656,0.028439660733771577,0.004793907415958865,0.004793907415958865,austin,austin-round rock-san marcos,TX,['TX'],0
12420.0,"Austin-Round Rock-San Marcos, TX",2019.0,2.0,473.83,464.9,"Austin-Round Rock-San Marcos, TX",1.57,,,,,,,,"Austin-Round Rock-Georgetown, TX",2227083.0,0.0284396607337716,0.0800512702132281,0.0047939074159588,"Austin, TX",322971.64687432477,76844.0,621.0,4.202952044067524,False,19.797974592212732,False,False,4.298688456608258,0.7323506689767068,0.03211546169168944,-0.006429051028668186,0.0,0.0022798457076069756,0.0672635445362717,0.051691252806683075,4.202952044067524,0.008479869129737638,0.026219408045636605,0.00475906791124836,0.028439660733771577,0.0,-0.004793907415958865,austin,austin-round rock-san marcos,TX,['TX'],0
12420.0,"Austin-Round Rock-San Marcos, TX",2019.0,3.0,475.72,473.96,"Austin-Round Rock-San Marcos, TX",1.56,,,,,,,,"Austin-Round Rock-Georgetown, TX",2227083.0,0.0284396607337716,0.0800512702132281,0.0047939074159588,"Austin, TX",325435.04213345575,76844.0,621.0,4.235009137127892,False,19.10936871733011,False,False,4.332309290446288,0.6610825171291799,0.03560436737901296,-0.005902669375743396,0.0,0.0,0.05693196262515876,0.07021312140521707,4.235009137127892,0.007821184107060564,0.026021964373607265,0.007627280236427447,0.028439660733771577,0.0,0.0,austin,austin-round rock-san marcos,TX,['TX'],0
12420.0,"Austin-Round Rock-San Marcos, TX",2019.0,4.0,485.99,495.88,"Austin-Round Rock-San Marcos, TX",1.59,,,,,,,,"Austin-Round Rock-Georgetown, TX",2227083.0,0.0284396607337716,0.0800512702132281,0.0047939074159588,"Austin, TX",330525.4447557237,76844.0,621.0,4.301252469362913,False,22.66059811512109,False,False,4.363133936068797,0.5985813604451602,0.034335357841771996,-0.005145213241885841,0.0,0.0,0.09912226261193369,0.05347218979124846,4.301252469362913,0.007115061173144754,0.03470881848911844,0.015641839271200775,0.028439660733771577,0.0,0.0,austin,austin-round rock-san marcos,TX,['TX'],0
12420.0,"Austin-Round Rock-San Marcos, TX",2020.0,1.0,500.93,501.21,"Austin-Round Rock-San Marcos, TX",1.61,,,,,,,,"Austin-Round Rock-San Marcos, TX",2300172.0,0.0328182649681219,0.0873075786761839,0.0043786042343503,"Austin, TX",338346.29317403265,80852.0,688.0,4.184760960446651,False,23.642598120235835,False,False,4.183044650500009,0.389401194228828,0.030019680713820884,-0.0044679962569923485,0.004793907415958865,0.004793907415958865,0.08698763825634348,0.07058277223125153,4.184760960446651,0.006272758652359656,0.05258931999393557,0.023661864895421214,0.0328182649681219,0.004378604234350325,0.004378604234350325,austin,austin-round rock-san marcos,TX,['TX'],0
12420.0,"Austin-Round Rock-San Marcos, TX",2020.0,2.0,515.65,504.06,"Austin-Round Rock-San Marcos, TX",1.58,,,,,,,,"Austin-Round Rock-San Marcos, TX",2300172.0,0.0328182649681219,0.0873075786761839,0.0043786042343503,"Austin, TX",344671.94920020824,80852.0,688.0,4.262998431704945,False,21.697771554117672,False,False,4.202952044067524,0.30025966438139884,0.026219408045636605,-0.0039091211209016305,0.0,-0.004793907415958865,0.08423316842331685,0.0672635445362717,4.262998431704945,0.00475906791124836,0.06718949646477035,0.01869580413260774,0.0328182649681219,0.0,-0.004378604234350325,austin,austin-round rock-san marcos,TX,['TX'],0
12420.0,"Austin-Round Rock-San Marcos, TX",2020.0,3.0,530.95,529.75,"Austin-Round Rock-San Marcos, TX",1.61,,,,,,,,"Austin-Round Rock-San Marcos, TX",2300172.0,0.0328182649681219,0.0873075786761839,0.0043786042343503,"Austin, TX",350606.1480637049,80852.0,688.0,4.336394252012379,False,26.428963509224126,False,False,4.235009137127892,0.22049179676278552,0.026021964373607265,-0.0033352556510690117,0.0,0.0,0.11771035530424512,0.05693196262515876,4.336394252012379,0.007627280236427447,0.07734602200560459,0.017216947527255,0.0328182649681219,0.0,0.0,austin,austin-round rock-san marcos,TX,['TX'],0
12420.0,"Austin-Round Rock-San Marcos, TX",2020.0,4.0,551.73,565.03,"Austin-Round Rock-San Marcos, TX",1.68,,,,,,,,"Austin-Round Rock-San Marcos, TX",2300172.0,0.0328182649681219,0.0873075786761839,0.0043786042343503,"Austin, TX",367314.50914771314,80852.0,688.0,4.543047904167035,False,31.936206977070004,False,False,4.301252469362913,0.19512216439567442,0.03470881848911844,-0.002511902670969819,0.0,0.0,0.1394490602565137,0.09912226261193369,4.543047904167035,0.015641839271200775,0.11130478750033457,0.04765564202534267,0.0328182649681219,0.0,0.0,austin,austin-round rock-san marcos,TX,['TX'],0
12420.0,"Austin-Round Rock-San Marcos, TX",2021.0,1.0,610.33,609.52,"Austin-Round Rock-San Marcos, TX",1.77,,,,,,,,"Austin-Round Rock-San Marcos, TX",2359313.0,0.0257115554836769,0.089501855694097,-0.007106709484445,"Austin, TX",392175.3973355509,85398.0,783.0,4.592325315997458,False,41.51845832365917,False,False,4.184760960446651,0.06508390661417263,0.05258931999393557,-0.0009844029168061313,0.004378604234350325,0.004378604234350325,0.21609704515073513,0.08698763825634348,4.592325315997458,0.023661864895421214,0.15909470636295864,0.06768283737422465,0.025711555483676873,-0.0071067094844450285,-0.0071067094844450285,austin,austin-round rock-san marcos,TX,['TX'],0
12420.0,"Austin-Round Rock-San Marcos, TX",2021.0,2.0,687.19,670.2,"Austin-Round Rock-San Marcos, TX",2.05,,,,,,,,"Austin-Round Rock-San Marcos, TX",2359313.0,0.0257115554836769,0.089501855694097,-0.007106709484445,"Austin, TX",443623.887361965,85398.0,783.0,5.194780760228167,True,53.85674931129476,True,True,4.262998431704945,0.0402411848657076,0.06718949646477035,0.0009105482054073062,0.0,-0.004378604234350325,0.3296036186168314,0.08423316842331685,5.194780760228167,0.01869580413260774,0.28709019806041414,0.13118744922796366,0.025711555483676873,0.0,0.0071067094844450285,austin,austin-round rock-san marcos,TX,['TX'],1
